status,family,upstream,fontfiles prefix,Notes
?,esteban,,,
?,euphoriascript,,,
?,ewert,,,
OK,Exo,https://github.com/NDISCOVER/Exo-1.0,fonts/Exo-,
?,exo2,,,
?,expletussans,,,
?,fanwoodtext,,,
?,fascinate,,,
?,fascinateinline,,,
?,fasterone,,,
?,fasthand,,,
?,faunaone,,,
TTX,Faustina,https://github.com/Omnibus-Type/Faustina,fonts/ttf/Faustina-,
OK,Federant,https://github.com/cyrealtype/Federant.git,Federant-,
?,federo,,,
?,felipa,,,
?,fenix,,,
?,fingerpaint,,,
OK,FiraCode,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraCode-,
OK,FiraMono,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraMono-,
OK,FiraSans,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraSans-,
OK,FiraSansCondensed,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraSansCondensed-,
OK,FiraSansCondensedHairline,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraSansCondensedHairline-,
OK,FiraSansExtraCondensed,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraSansExtraCondensed-,
OK,FiraSansExtraCondensedHairline,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraSansExtraCondensedHairline-,
OK,FiraSansHairline,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraSansHairline-,
OK,FiraSansUltra,https://github.com/googlefonts/FiraGFVersion.git,fonts/FiraSansUltra-,
?,fjallaone,,,
?,fjordone,,,
?,flamenco,,,
?,flavors,,,
?,fondamento,,,
?,fontdinerswanky,,,
?,forum,,,
OK,Francois One,https://github.com/googlefonts/francoisoneFont.git,fonts/FrancoisOne-,
?,freckleface,,,
?,frederickathegreat,,,
?,fredokaone,,,
?,freehand,,,
?,fresca,,,
?,frijole,,,
TTX,Fruktur,https://github.com/EbenSorkin/Fruktur,TTX/TTF/Fruktur-,
?,fugazone,,,
OK,Gabriela,https://github.com/etunni/Gabriela,fonts/Gabriela-,
?,gafata,,,
?,galdeano,,,
?,galindo,,,
OK,Gemunu Libre,https://github.com/googlefonts/MooniakFontsGFVersion,fonts/GemunuLibre-,
?,gentiumbasic,,,
?,gentiumbookbasic,,,
?,geo,,,
?,geostar,,,
?,geostarfill,,,
?,germaniaone,,,
?,gfsdidot,,,
?,gfsneohellenic,,,
?,ghub_fontrepos.txt,,,
UFO,Gidugu,https://github.com/appajid/gidugu,Gidugu,
?,gildadisplay,,,
?,giveyouglory,,,
?,glassantiqua,,,
OK,Glegoo,https://github.com/etunni/glegoo.git,Glegoo-,
?,gloriahallelujah,,,
TTX,Goblin One,why was this url deleted ?,GoblinOne,
?,gochihand,,,
?,gorditas,,,
?,goudybookletter1911,,,
?,graduate,,,
?,grandhotel,,,
?,gravitasone,,,
?,greatvibes,,,
?,griffy,,,
?,gruppo,,,
?,gudea,,,
UFO,Gurajada,https://github.com/appajid/gurajada,Gurajada.ufo,
?,habibi,,,
?,halant,,,
?,hammersmithone,,,
?,hanalei,,,
?,hanaleifill,,,
?,handlee,,,
?,hanna,,,
?,hannari,,,
?,hanuman,,,
TTX,happymonkey,https://github.com/librefonts/happymonkey,HappyMonkey-,
?,headlandone,,,
?,hennypenny,,,
?,hermeneusone,,,
?,herrvonmuellerhoff,,,
?,hind,,,
OTF,Hind Colombo,https://github.com/itfoundry/hind-colombo,build/HindColombo-,
OTF,Hind Guntur,https://github.com/itfoundry/hind-guntur,build/HindGuntur-,
OTF,Hind Jalandhar,https://github.com/itfoundry/hind-jalandhar,build/HindJalandhar-,
OTF,Hind Kochi,https://github.com/itfoundry/hind-kochi,build/HindKochi-,
OTF,Hind Madurai,https://github.com/itfoundry/hind-madurai,build/HindMadurai-,
OTF,Hind Mysuru,https://github.com/itfoundry/hind-mysuru,build/HindMysuru-,
OTF,Hind Siliguri,https://github.com/itfoundry/hind-siliguri,build/HindSiliguri-,
OTF,Hind Vadodara,https://github.com/itfoundry/hind-vadodara,build/HindVadodara-,
?,holtwoodonesc,,,
?,homemadeapple,,,
OK,Homenaje,https://github.com/googlefonts/Homenaje.git,fonts/Homenaje-,
?,iceberg,,,
?,iceland,,,
?,imfelldoublepica,,,
?,imfelldoublepicasc,,,
?,imfelldwpica,,,
?,imfelldwpicasc,,,
?,imfellenglish,,,
